Должность,Компания,Доход,Адрес,Ссылка 
['Инженер ПТО', 'ООО ХМР-Рязань', '35 000 – 60 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73249882?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Заведующий гаражом', 'ООО Холод-Р Плюс', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73185381?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Руководитель отдела оптовых продаж (мебель)', 'PUSHE', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72689295?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Кладовщик', 'СОРСО-СТР', 'до 52 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/73088783?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Начальник отдела кадров на мебельное производство', 'ИП Центр кадровых решений', '50 000 – 70 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72805921?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Руководитель обособленного подразделения', 'qWell', 'от 60 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73013402?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Юрист по сопровождению сделок', 'ООО Агентство недвижимости Новоселье', 'от 37 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73322788?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Представитель компании на территории Рязанской области', 'АО КАЛИНОВ РОДНИК', 'до 58 500 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73320214?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант (Рязань)', 'М.Видео-Эльдорадо. Работа в Эльдорадо', '29 000 – 39 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73144750?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант (Рязань)', 'М.Видео-Эльдорадо. Работа в Эльдорадо', '29 000 – 39 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73144715?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Токарь 16к20', 'ООО Консалтинг Групп', 'от 110 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73400075?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Менеджер по продажам услуг', 'ООО Региональный центр повышения квалификации', '32 000 – 75 900 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/40496713?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Электромонтер по обслуживанию электросчетчиков 3-го разряда', 'МУП Рязанские городские распределительные электрические сети', 'от 25 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/53926986?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Региональный менеджер', 'ООО Медилон-Фармимэкс', 'от 70 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73359502?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Слесарь', 'ООО «СпецПромСтрой»', 'от 45 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72798550?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Грузчик-комплектовщик (день 5/2', 'СОРСО-СТР', '30 000 – 50 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/73087971?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-кассир (Рязань', 'Пятёрочка. Магазины', '28 000 – 32 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/66949151?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Техник ПТО', 'ООО Стройкомплектсервис', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72936378?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Торговый представитель', 'ОАО Русский холод', 'от 60 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/71664655?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Инженер ПТО', 'ООО Фарад', 'от 38 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73384412?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-кассир (Рязань', 'Пятёрочка. Магазины', '32 500 – 38 500 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73263586?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Охранник в отель в Москве', 'ООО ЧОО оплот', '33 500 – 33 500 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73237043?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Уборщик/уборщица', 'ИП Горлов Александр Александрович', '20 000 – 40 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73082180?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Кладовщик-отборщик', 'МАГНИТ', '54 000 – 88 500 руб.', 'Димитровград', 'https://ryazan.hh.ru/vacancy/69896470?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Техник-технолог', 'ООО СПЕКТР', 'до 35 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73334494?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист по продвижению продукции (мерчендайзер)', 'Пивоваренная компания Балтика', 'от 40 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72027714?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Повар', 'Сушкоф и Дель Песто (ИП Шлыков Алексей Дмитриевич)', '35 000 – 75 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73240013?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Автослесарь', 'АвтоМсервис (ИП Куколев Сергей Александрович)', 'от 60 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72172447?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист клиентского сервиса', 'Help Me', 'от 25 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72365236?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
